feature,stage,signed_coefficient_mean,signed_coefficient_std,absolute_coefficient_mean,absolute_coefficient_std
questionnaire_interval_sd,Stage 1,1.1238098730186925,0.22287726609563227,1.1238098730186925,0.22287726609563227
social_notification_latency_mean,Stage 1,1.0383691567871869,0.22857294192548303,1.0383691567871869,0.22857294192548303
dwell_time_sd,Stage 1,0.9768667781170663,0.21606697231292585,0.9768667781170663,0.21606697231292585
social_notification_latency_sd,Stage 1,0.9336587626605438,0.15819470310547037,0.9336587626605438,0.15819470310547037
questionnaire_interval_mean,Stage 1,0.8115224380079801,0.18353333519801407,0.8115224380079801,0.18353333519801407
tap_interval_sd,Stage 1,0.777347721942623,0.1889231376904788,0.777347721942623,0.1889231376904788
stroop_saccade_latency_total,Stage 2,0.7575729059474156,0.1621719800157915,0.7575729059474156,0.1621719800157915
ambient_light_sd,Stage 1,0.6244427824745624,0.2311939936361346,0.6244427824745624,0.2311939936361346
scroll_interval_sd,Stage 1,0.6115634311395655,0.19230231547850113,0.6115634311395655,0.19230231547850113
idle_interval_sd,Stage 1,0.5986589090571998,0.1973860478247544,0.5986589090571998,0.1973860478247544
mgst_fixation_mean,Stage 2,-0.5414487632176156,0.16249799155403674,0.5414487632176156,0.16249799155403674
questionnaire_latency_mean,Stage 1,0.5110388263630923,0.2543606252501237,0.5110388263630923,0.2543606252501237
questionnaire_latency_sd,Stage 1,0.5080102102269514,0.18569245921989194,0.5080102102269514,0.18569245921989194
mgst_saccade_duration,Stage 2,0.4859933548100475,0.249281789709541,0.4986340627050423,0.22195908932120198
fitbit_steps_active,Stage 1,0.4685891239714897,0.18518732346480615,0.4685891239714897,0.18518732346480615
mgst_saccade_latency_total,Stage 2,-0.4619920152754855,0.2125926041994948,0.4619920152754855,0.2125926041994948
mgst_fixation_time_max,Stage 2,-0.3854691906818158,0.15212787098430072,0.3854691906818158,0.15212787098430072
pst_fixation_duration,Stage 2,-0.3673956265710815,0.16687646232109443,0.3673956265710815,0.16687646232109443
active_session_duration,Stage 1,0.3547410557145075,0.1697249365912776,0.3547410557145075,0.1697249365912776
stroop_saccade_degree_mean,Stage 2,0.34494650277984346,0.15299259327578735,0.34494650277984346,0.15299259327578735
cdt_saccade_degree_sd,Stage 2,-0.30134095896036045,0.1700038578175198,0.30400552406172743,0.16502335102535287
mgst_saccade_degree_total,Stage 2,0.25516051757605784,0.2547388443579984,0.3008256512658815,0.19653805492916152
stroop_screen_duration_mean,Stage 2,0.15674622016066467,0.21611819799757803,0.21894034924012032,0.15011951789571107
mgst_saccade_degree_mean,Stage 2,0.13234058855106937,0.24174873452219214,0.21866080348193603,0.16461822086790182
ast_saccade_time_max,Stage 2,0.13189473615356273,0.19928461462143093,0.19891050365223165,0.12954048228583548
mgst_saccade_time_max,Stage 2,0.13651969254119586,0.18933700603622686,0.19561972828696303,0.12466825004129771
new_apps_added,Stage 1,-0.13097528345894088,0.15585299527790838,0.17030886873094037,0.1096855931881248
session_fragmentation,Stage 1,-0.06174404537702473,0.14223507200282132,0.12532980813013334,0.08902472448694294
