feature,stage,signed_coefficient_mean,signed_coefficient_std,absolute_coefficient_mean,absolute_coefficient_std
questionnaire_interval_sd,Stage 1,1.1238098730186925,0.22287726609563227,1.1238098730186925,0.22287726609563227
social_notification_latency_mean,Stage 1,1.0383691567871869,0.22857294192548303,1.0383691567871869,0.22857294192548303
dwell_time_sd,Stage 1,0.9768667781170663,0.21606697231292585,0.9768667781170663,0.21606697231292585
social_notification_latency_sd,Stage 1,0.9336587626605438,0.15819470310547037,0.9336587626605438,0.15819470310547037
questionnaire_interval_mean,Stage 1,0.8115224380079801,0.18353333519801407,0.8115224380079801,0.18353333519801407
tap_interval_sd,Stage 1,0.777347721942623,0.1889231376904788,0.777347721942623,0.1889231376904788
stroop_saccade_latency_total,Stage 2,0.7575729059474156,0.1621719800157915,0.7575729059474156,0.1621719800157915
ambient_light_sd,Stage 1,0.6244427824745624,0.2311939936361346,0.6244427824745624,0.2311939936361346
scroll_interval_sd,Stage 1,0.6115634311395655,0.19230231547850113,0.6115634311395655,0.19230231547850113
idle_interval_sd,Stage 1,0.5986589090571998,0.1973860478247544,0.5986589090571998,0.1973860478247544
