feature,stage,permutation_importance_mean,permutation_importance_std_across_splits,mean_within_split_permutation_std
questionnaire_interval_mean,Stage 1,0.023564197530864195,0.008098082477771232,0.012940454979682327
dwell_time_sd,Stage 1,0.018244444444444438,0.008430133680531032,0.010030970639196703
questionnaire_latency_mean,Stage 1,0.012412962962962954,0.00899389229552631,0.008741954966848008
questionnaire_interval_sd,Stage 1,0.01226481481481481,0.006677903383202178,0.00765826117130011
social_notification_latency_sd,Stage 1,0.01100802469135802,0.007057970616953196,0.007622115504133993
tap_interval_sd,Stage 1,0.00829506172839506,0.006049098915159374,0.006503936947607917
social_notification_latency_mean,Stage 1,0.006265432098765426,0.004520481780776045,0.004203662772780594
ambient_light_sd,Stage 1,0.004743209876543207,0.0043977558696696225,0.003411617592955323
idle_interval_sd,Stage 1,0.004486419753086414,0.005624142258540484,0.005489277527004142
mgst_fixation_time_max,Stage 2,0.00416481481481481,0.0039015070787395403,0.005232433501774066
mgst_saccade_duration,Stage 2,0.0034839506172839457,0.0045945715603339385,0.003682214232574033
mgst_saccade_degree_total,Stage 2,0.0034290123456790058,0.003040092392543221,0.003465196057659321
mgst_fixation_mean,Stage 2,0.003354320987654315,0.004410539399672991,0.0035671843150289315
scroll_interval_sd,Stage 1,0.0032574074074074016,0.0043552766339741015,0.004137572295727722
active_session_duration,Stage 1,0.0029925925925925866,0.004740385523090458,0.006104731252894046
questionnaire_latency_sd,Stage 1,0.0027765432098765352,0.0025775743327281927,0.002735043019219001
mgst_saccade_latency_total,Stage 2,0.0010672839506172774,0.003508712838143452,0.00350734332004225
fitbit_steps_active,Stage 1,0.0009586419753086344,0.001668252993710042,0.002296008338502741
stroop_saccade_latency_total,Stage 2,0.0008679012345678942,0.0028313135370105374,0.0032950533575706806
mgst_saccade_degree_mean,Stage 2,0.0007055555555555497,0.002550851492656989,0.0018762274421304209
stroop_saccade_degree_mean,Stage 2,0.0006370370370370278,0.003079802783488759,0.002311444785991873
pst_fixation_duration,Stage 2,0.000517901234567897,0.001410365944423191,0.0018426258559825774
mgst_saccade_time_max,Stage 2,0.0004938271604938199,0.0029667972211167293,0.002930556078495341
ast_saccade_time_max,Stage 2,0.0003759259259259195,0.002022040174909127,0.0025155369728664073
cdt_saccade_degree_sd,Stage 2,0.00031111111111110603,0.003636027280606895,0.003909947960231511
new_apps_added,Stage 1,0.00022777777777777084,0.003235210205173958,0.0034828147966148204
session_fragmentation,Stage 1,0.00016543209876542764,0.0018592122775819239,0.0018895011941011497
stroop_screen_duration_mean,Stage 2,7.34567901234505e-05,0.0011933931470309695,0.0014727031155665512
