split,feature,stage,importance_mean,importance_std
1,questionnaire_latency_mean,Stage 1,0.03392592592592584,0.013141312777227264
1,questionnaire_latency_sd,Stage 1,0.007999999999999906,0.004002571190083593
1,questionnaire_interval_mean,Stage 1,0.03561111111111101,0.01730526573682768
1,questionnaire_interval_sd,Stage 1,0.020055555555555448,0.010039377204299363
1,social_notification_latency_mean,Stage 1,-0.00353703703703712,0.0036725075065218637
1,social_notification_latency_sd,Stage 1,0.009499999999999916,0.011644909165168308
1,ambient_light_sd,Stage 1,0.002314814814814736,0.0034369192987496835
1,fitbit_steps_active,Stage 1,0.00038888888888879427,0.0025180418938976724
1,active_session_duration,Stage 1,0.0009074074074072939,0.003607500569182628
1,new_apps_added,Stage 1,0.002870370370370264,0.0026375077607333286
1,scroll_interval_sd,Stage 1,0.0043703703703702615,0.004314616113689007
1,tap_interval_sd,Stage 1,0.005462962962962862,0.0028511903994825486
1,dwell_time_sd,Stage 1,0.02611111111111099,0.011412576991207858
1,idle_interval_sd,Stage 1,0.009574074074073973,0.004136765135797752
1,session_fragmentation,Stage 1,-0.0004814814814815752,0.0022486087758015662
1,pst_fixation_duration,Stage 2,-0.0014444444444445296,0.003447430008361506
1,ast_saccade_time_max,Stage 2,0.004574074074073979,0.0026359470281577596
1,mgst_saccade_degree_total,Stage 2,0.012703703703703596,0.0028354506733960245
1,mgst_saccade_degree_mean,Stage 2,0.0019444444444443598,0.002394910584514352
1,mgst_saccade_time_max,Stage 2,-0.002148148148148251,0.0038855364738972923
1,mgst_fixation_time_max,Stage 2,0.011703703703703598,0.006886698178153452
1,mgst_fixation_mean,Stage 2,0.0003518518518517551,0.004537188206098385
1,mgst_saccade_latency_total,Stage 2,0.0031666666666665586,0.0035893933827273747
1,mgst_saccade_duration,Stage 2,0.004962962962962854,0.005759110394646299
1,cdt_saccade_degree_sd,Stage 2,0.002370370370370271,0.004656809106699718
1,stroop_saccade_degree_mean,Stage 2,0.008481481481481375,0.004079793964511802
1,stroop_screen_duration_mean,Stage 2,-0.001074074074074179,0.0018699119350169332
1,stroop_saccade_latency_total,Stage 2,0.005148148148148024,0.003283370411939924
2,questionnaire_latency_mean,Stage 1,0.011462962962962986,0.005839913983619707
2,questionnaire_latency_sd,Stage 1,0.003666666666666703,0.0013653561919382707
2,questionnaire_interval_mean,Stage 1,0.02701851851851855,0.011982053910419895
2,questionnaire_interval_sd,Stage 1,0.008944444444444484,0.005276997993076165
2,social_notification_latency_mean,Stage 1,0.011370370370370413,0.005829775517022519
2,social_notification_latency_sd,Stage 1,0.008814814814814857,0.006284957109722897
2,ambient_light_sd,Stage 1,1.8518518518547317e-05,0.0017771024952049504
2,fitbit_steps_active,Stage 1,0.0004629629629629983,0.0028655874128789864
2,active_session_duration,Stage 1,-0.006814814814814781,0.006352040813515799
2,new_apps_added,Stage 1,0.0017037037037037444,0.0028325464896294616
2,scroll_interval_sd,Stage 1,0.001185185185185215,0.0028318199783133775
2,tap_interval_sd,Stage 1,0.010370370370370422,0.008391566084129177
2,dwell_time_sd,Stage 1,0.014203703703703748,0.006102153929464189
2,idle_interval_sd,Stage 1,0.0022407407407407875,0.005930813956263799
2,session_fragmentation,Stage 1,0.00029629629629633153,0.0007821745215534507
2,pst_fixation_duration,Stage 2,0.0013518518518518781,0.0009036202147226324
