feature,stage,permutation_importance_mean,permutation_importance_std_across_splits,mean_within_split_permutation_std
questionnaire_interval_mean,Stage 1,0.023564197530864195,0.008098082477771232,0.012940454979682327
dwell_time_sd,Stage 1,0.018244444444444438,0.008430133680531032,0.010030970639196703
questionnaire_latency_mean,Stage 1,0.012412962962962954,0.00899389229552631,0.008741954966848008
questionnaire_interval_sd,Stage 1,0.01226481481481481,0.006677903383202178,0.00765826117130011
social_notification_latency_sd,Stage 1,0.01100802469135802,0.007057970616953196,0.007622115504133993
tap_interval_sd,Stage 1,0.00829506172839506,0.006049098915159374,0.006503936947607917
social_notification_latency_mean,Stage 1,0.006265432098765426,0.004520481780776045,0.004203662772780594
ambient_light_sd,Stage 1,0.004743209876543207,0.0043977558696696225,0.003411617592955323
idle_interval_sd,Stage 1,0.004486419753086414,0.005624142258540484,0.005489277527004142
mgst_fixation_time_max,Stage 2,0.00416481481481481,0.0039015070787395403,0.005232433501774066
