feature,stage,permutation_importance_mean,permutation_importance_std_across_splits,mean_within_split_permutation_std
questionnaire_interval_mean,Stage 1,0.031956790123456785,0.008312427776800137,0.017168326789055673
dwell_time_sd,Stage 1,0.022613580246913567,0.011276700057066057,0.01395826934703011
questionnaire_interval_sd,Stage 1,0.021161728395061714,0.008200531047359915,0.011637830433031683
questionnaire_latency_mean,Stage 1,0.018639506172839496,0.00926189455899503,0.01256041728155403
social_notification_latency_sd,Stage 1,0.014739506172839496,0.006378721866312851,0.010107377646698997
tap_interval_sd,Stage 1,0.014479012345679002,0.007978140119754128,0.010174848655428777
mgst_fixation_time_max,Stage 2,0.008243209876543199,0.005927320105260791,0.007022724978368913
scroll_interval_sd,Stage 1,0.007303703703703692,0.006656174516419867,0.0068576952274880315
social_notification_latency_mean,Stage 1,0.005185185185185174,0.004805216880261976,0.005624828559539134
mgst_saccade_duration,Stage 2,0.004920987654320976,0.008372730673068035,0.00639711115783677
active_session_duration,Stage 1,0.004541975308641966,0.005706203390922659,0.008204044191254463
mgst_fixation_mean,Stage 2,0.004529629629629623,0.00432947454566257,0.005036419653112621
stroop_saccade_latency_total,Stage 2,0.004171604938271589,0.0049451318355762585,0.005395106457681601
idle_interval_sd,Stage 1,0.00396543209876542,0.004367998721532243,0.006604252966767654
ambient_light_sd,Stage 1,0.0034320987654320846,0.00487022185413593,0.00527443780008669
questionnaire_latency_sd,Stage 1,0.0031135802469135646,0.005314069913074328,0.004480733022383332
mgst_saccade_degree_total,Stage 2,0.001241975308641964,0.0028814741491390767,0.004005005777514944
mgst_saccade_latency_total,Stage 2,0.0009876543209876411,0.004303758144806978,0.003839726056012215
new_apps_added,Stage 1,0.0006567901234567804,0.0028223488159466645,0.0035264252094569033
pst_fixation_duration,Stage 2,0.0004086419753086418,0.001901890578082217,0.0014597000885664764
mgst_saccade_degree_mean,Stage 2,0.00016419753086418766,0.0008785953229880036,0.0008922013095465652
fitbit_steps_active,Stage 1,0.00014567901234567688,0.0017189867391100991,0.001677532575160491
session_fragmentation,Stage 1,8.395061728394903e-05,0.001471548223055049,0.001332580491870063
stroop_saccade_degree_mean,Stage 2,-4.320987654322425e-05,0.0034440679195641708,0.0029463248771438755
ast_saccade_time_max,Stage 2,-0.00012962962962963963,0.002576886378663731,0.0019203538580560948
stroop_screen_duration_mean,Stage 2,-0.00026049382716049715,0.0014018672747272928,0.0009082893876396658
mgst_saccade_time_max,Stage 2,-0.00034074074074075505,0.005613713469087346,0.0034272013062429797
cdt_saccade_degree_sd,Stage 2,-0.0008530864197530956,0.0055481814264197946,0.0036869206525816088
