feature,stage,permutation_importance_mean,permutation_importance_std_across_splits,mean_within_split_permutation_std
questionnaire_interval_mean,Stage 1,0.031956790123456785,0.008312427776800137,0.017168326789055673
dwell_time_sd,Stage 1,0.022613580246913567,0.011276700057066057,0.01395826934703011
questionnaire_interval_sd,Stage 1,0.021161728395061714,0.008200531047359915,0.011637830433031683
questionnaire_latency_mean,Stage 1,0.018639506172839496,0.00926189455899503,0.01256041728155403
social_notification_latency_sd,Stage 1,0.014739506172839496,0.006378721866312851,0.010107377646698997
tap_interval_sd,Stage 1,0.014479012345679002,0.007978140119754128,0.010174848655428777
mgst_fixation_time_max,Stage 2,0.008243209876543199,0.005927320105260791,0.007022724978368913
scroll_interval_sd,Stage 1,0.007303703703703692,0.006656174516419867,0.0068576952274880315
social_notification_latency_mean,Stage 1,0.005185185185185174,0.004805216880261976,0.005624828559539134
mgst_saccade_duration,Stage 2,0.004920987654320976,0.008372730673068035,0.00639711115783677
