scenario,split,model,configuration,threshold_low,threshold_high,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
weak,1,Logistic Regression,Stage 1 only,,,0.0,0,0.6,0.7133333333333334,0.6363636363636364,0.5833333333333334,0.7,0.5,15,15,9,21
weak,1,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.8166666666666667,0.8255555555555556,0.8135593220338984,0.8275862068965517,0.8,0.8333333333333334,25,5,6,24
weak,1,Logistic Regression,Cascade,0.2,0.8,0.6666666666666666,40,0.8,0.8122222222222223,0.7931034482758621,0.8214285714285714,0.7666666666666667,0.8333333333333334,25,5,7,23
weak,1,Logistic Regression,Cascade,0.3,0.7,0.48333333333333334,29,0.7833333333333333,0.8111111111111111,0.7868852459016393,0.7741935483870968,0.8,0.7666666666666667,23,7,6,24
weak,1,Logistic Regression,Cascade,0.4,0.6,0.26666666666666666,16,0.6666666666666666,0.7844444444444445,0.7058823529411765,0.631578947368421,0.8,0.5333333333333333,16,14,6,24
weak,1,Random Forest,Stage 1 only,,,0.0,0,0.8333333333333334,0.9133333333333333,0.8571428571428571,0.75,1.0,0.6666666666666666,20,10,0,30
weak,1,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.8666666666666667,0.9466666666666668,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,1,Random Forest,Cascade,0.2,0.8,0.6833333333333333,41,0.8666666666666667,0.9411111111111111,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,1,Random Forest,Cascade,0.3,0.7,0.26666666666666666,16,0.8333333333333334,0.9233333333333333,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.7333333333333333,22,8,2,28
weak,1,Random Forest,Cascade,0.4,0.6,0.13333333333333333,8,0.85,0.9199999999999999,0.8656716417910447,0.7837837837837838,0.9666666666666667,0.7333333333333333,22,8,1,29
weak,1,XGBoost,Stage 1 only,,,0.0,0,0.8333333333333334,0.931111111111111,0.84375,0.7941176470588235,0.9,0.7666666666666667,23,7,3,27
weak,1,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8333333333333334,0.9422222222222222,0.8387096774193549,0.8125,0.8666666666666667,0.8,24,6,4,26
weak,1,XGBoost,Cascade,0.2,0.8,0.3,18,0.9,0.9633333333333334,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
weak,1,XGBoost,Cascade,0.3,0.7,0.18333333333333332,11,0.8833333333333333,0.9500000000000001,0.8888888888888888,0.8484848484848485,0.9333333333333333,0.8333333333333334,25,5,2,28
weak,1,XGBoost,Cascade,0.4,0.6,0.13333333333333333,8,0.8666666666666667,0.9411111111111112,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,2,Logistic Regression,Stage 1 only,,,0.0,0,0.6333333333333333,0.6622222222222223,0.6206896551724138,0.6428571428571429,0.6,0.6666666666666666,20,10,12,18
weak,2,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7333333333333333,0.86,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,22,8,8,22
weak,2,Logistic Regression,Cascade,0.2,0.8,0.8666666666666667,52,0.7,0.8322222222222223,0.6896551724137931,0.7142857142857143,0.6666666666666666,0.7333333333333333,22,8,10,20
weak,2,Logistic Regression,Cascade,0.3,0.7,0.4666666666666667,28,0.7,0.7677777777777778,0.7096774193548387,0.6875,0.7333333333333333,0.6666666666666666,20,10,8,22
weak,2,Logistic Regression,Cascade,0.4,0.6,0.23333333333333334,14,0.6833333333333333,0.7222222222222223,0.6779661016949152,0.6896551724137931,0.6666666666666666,0.7,21,9,10,20
weak,2,Random Forest,Stage 1 only,,,0.0,0,0.8666666666666667,0.9277777777777778,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,2,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.8666666666666667,0.966111111111111,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,2,Random Forest,Cascade,0.2,0.8,0.7166666666666667,43,0.8666666666666667,0.9444444444444444,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,2,Random Forest,Cascade,0.3,0.7,0.36666666666666664,22,0.8666666666666667,0.94,0.875,0.8235294117647058,0.9333333333333333,0.8,24,6,2,28
weak,2,Random Forest,Cascade,0.4,0.6,0.16666666666666666,10,0.85,0.9222222222222223,0.8615384615384616,0.8,0.9333333333333333,0.7666666666666667,23,7,2,28
weak,2,XGBoost,Stage 1 only,,,0.0,0,0.85,0.9255555555555557,0.8524590163934426,0.8387096774193549,0.8666666666666667,0.8333333333333334,25,5,4,26
weak,2,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8666666666666667,0.9244444444444445,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
weak,2,XGBoost,Cascade,0.2,0.8,0.3,18,0.8833333333333333,0.9033333333333333,0.8852459016393442,0.8709677419354839,0.9,0.8666666666666667,26,4,3,27
weak,2,XGBoost,Cascade,0.3,0.7,0.16666666666666666,10,0.85,0.8877777777777778,0.8524590163934426,0.8387096774193549,0.8666666666666667,0.8333333333333334,25,5,4,26
weak,2,XGBoost,Cascade,0.4,0.6,0.06666666666666667,4,0.85,0.9033333333333333,0.8524590163934426,0.8387096774193549,0.8666666666666667,0.8333333333333334,25,5,4,26
weak,3,Logistic Regression,Stage 1 only,,,0.0,0,0.7166666666666667,0.7366666666666667,0.711864406779661,0.7241379310344828,0.7,0.7333333333333333,22,8,9,21
weak,3,Logistic Regression,Stage 1 + Stage 2,,,1.0,60,0.7666666666666667,0.8322222222222222,0.78125,0.7352941176470589,0.8333333333333334,0.7,21,9,5,25
weak,3,Logistic Regression,Cascade,0.2,0.8,0.7333333333333333,44,0.7666666666666667,0.8211111111111111,0.78125,0.7352941176470589,0.8333333333333334,0.7,21,9,5,25
weak,3,Logistic Regression,Cascade,0.3,0.7,0.4666666666666667,28,0.7833333333333333,0.8244444444444444,0.7936507936507936,0.7575757575757576,0.8333333333333334,0.7333333333333333,22,8,5,25
weak,3,Logistic Regression,Cascade,0.4,0.6,0.3,18,0.7666666666666667,0.7966666666666666,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,23,7,7,23
weak,3,Random Forest,Stage 1 only,,,0.0,0,0.9,0.9294444444444444,0.90625,0.8529411764705882,0.9666666666666667,0.8333333333333334,25,5,1,29
weak,3,Random Forest,Stage 1 + Stage 2,,,1.0,60,0.9,0.9472222222222222,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,Random Forest,Cascade,0.2,0.8,0.5333333333333333,32,0.8833333333333333,0.9172222222222222,0.8955223880597015,0.8108108108108109,1.0,0.7666666666666667,23,7,0,30
weak,3,Random Forest,Cascade,0.3,0.7,0.2,12,0.9,0.9227777777777778,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,Random Forest,Cascade,0.4,0.6,0.06666666666666667,4,0.9,0.9111111111111111,0.9090909090909091,0.8333333333333334,1.0,0.8,24,6,0,30
weak,3,XGBoost,Stage 1 only,,,0.0,0,0.8833333333333333,0.941111111111111,0.8923076923076924,0.8285714285714286,0.9666666666666667,0.8,24,6,1,29
weak,3,XGBoost,Stage 1 + Stage 2,,,1.0,60,0.8166666666666667,0.8922222222222222,0.835820895522388,0.7567567567567568,0.9333333333333333,0.7,21,9,2,28
weak,3,XGBoost,Cascade,0.2,0.8,0.21666666666666667,13,0.85,0.898888888888889,0.8695652173913043,0.7692307692307693,1.0,0.7,21,9,0,30
weak,3,XGBoost,Cascade,0.3,0.7,0.15,9,0.8666666666666667,0.8977777777777778,0.8823529411764706,0.7894736842105263,1.0,0.7333333333333333,22,8,0,30
