split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
1,Logistic Regression,Stage 1 only,0.0,0,0.9333333333333333,0.9488888888888889,0.9285714285714286,1.0,0.8666666666666667,1.0,30,0,4,26
1,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9433333333333334,0.9090909090909091,1.0,0.8333333333333334,1.0,30,0,5,25
1,Logistic Regression,Cascade,0.13333333333333333,8,0.9333333333333333,0.9488888888888889,0.9285714285714286,1.0,0.8666666666666667,1.0,30,0,4,26
1,Random Forest,Stage 1 only,0.0,0,0.9166666666666666,0.9433333333333334,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
1,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9766666666666666,0.9285714285714286,1.0,0.8666666666666667,1.0,30,0,4,26
1,Random Forest,Cascade,0.36666666666666664,22,0.9333333333333333,0.9555555555555555,0.9285714285714286,1.0,0.8666666666666667,1.0,30,0,4,26
1,XGBoost,Stage 1 only,0.0,0,0.8833333333333333,0.9266666666666666,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
1,XGBoost,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9522222222222223,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
1,XGBoost,Cascade,0.13333333333333333,8,0.9166666666666666,0.9333333333333333,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
2,Logistic Regression,Stage 1 only,0.0,0,0.9,0.971111111111111,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
2,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.95,0.96,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.9666666666666667,29,1,2,28
2,Logistic Regression,Cascade,0.23333333333333334,14,0.9166666666666666,0.9466666666666668,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
2,Random Forest,Stage 1 only,0.0,0,0.9333333333333333,0.9761111111111112,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
2,Random Forest,Stage 1 + Stage 2,1.0,60,0.9666666666666667,0.9811111111111112,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
2,Random Forest,Cascade,0.43333333333333335,26,0.9666666666666667,0.9833333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
2,XGBoost,Stage 1 only,0.0,0,0.8166666666666667,0.9377777777777778,0.8135593220338984,0.8275862068965517,0.8,0.8333333333333334,25,5,6,24
2,XGBoost,Stage 1 + Stage 2,1.0,60,0.8666666666666667,0.9455555555555556,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
2,XGBoost,Cascade,0.18333333333333332,11,0.85,0.9377777777777778,0.847457627118644,0.8620689655172413,0.8333333333333334,0.8666666666666667,26,4,5,25
3,Logistic Regression,Stage 1 only,0.0,0,0.9666666666666667,0.9877777777777778,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
3,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9733333333333334,0.9230769230769231,0.8571428571428571,1.0,0.8333333333333334,25,5,0,30
3,Logistic Regression,Cascade,0.21666666666666667,13,0.9333333333333333,0.9611111111111111,0.9354838709677419,0.90625,0.9666666666666667,0.9,27,3,1,29
3,Random Forest,Stage 1 only,0.0,0,0.9,0.9622222222222222,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
3,Random Forest,Stage 1 + Stage 2,1.0,60,0.95,0.9705555555555556,0.9523809523809523,0.9090909090909091,1.0,0.9,27,3,0,30
